,pagerank,vertex
0,7.717406334e-06,29740
1,8.838100257e-06,29749
2,6.651377589e-06,29751
3,8.584460375e-06,29757
4,4.89040076e-06,29759
5,8.473324669e-06,29764
6,1.10639221e-05,29765
7,1.169932693e-05,29766
8,9.615214367e-06,29769
9,1.871130553e-05,29771
10,7.91205548e-06,29772
11,9.723157746e-06,29773
12,1.008610525e-05,29776
13,1.479463754e-05,29784
14,1.247958971e-05,29787
15,1.768682523e-05,29792
16,1.502755822e-05,29795
17,8.718986464e-06,29797
18,1.067529138e-05,29813
19,1.401335157e-05,29815
20,1.574155249e-05,29823
21,1.037267248e-05,29831
22,1.400679957e-05,29839
23,5.679408332e-06,29840
24,3.367517593e-06,29841
25,1.932058694e-05,29842
26,2.246409713e-05,29844
27,9.449259778e-06,29845
28,1.380191316e-05,29846
29,1.011363747e-05,29848
30,1.717182749e-05,29849
31,9.574324395e-06,29853
32,1.074161901e-05,47232
33,1.138160133e-05,47239
34,5.821997547e-06,47243
35,7.851926057e-06,47244
36,3.010994988e-06,47245
37,9.275580851e-06,47249
38,8.468981832e-06,47253
39,1.152390996e-05,47254
40,3.528715979e-06,47260
41,6.532843145e-06,47261
42,3.32706486e-06,47263
43,6.123407729e-06,47264
44,1.068208712e-05,47266
45,6.532719453e-06,47268
46,1.385920405e-05,47270
47,4.18251193e-06,47271
48,1.105546562e-05,47275
49,6.524269793e-06,47276
50,9.627131476e-06,47277
51,5.274690466e-06,47292
52,3.238174259e-06,47295
53,1.992530269e-05,47298
54,1.887324106e-05,47299
55,8.88253453e-06,47303
56,1.071206407e-05,47307
57,8.690587492e-06,47311
58,1.132579928e-05,47312
59,2.036358092e-05,47314
60,8.610250916e-06,47315
61,1.323189008e-05,47316
62,1.465939567e-05,47318
63,1.205659919e-05,47321
64,2.161510201e-05,28080
65,3.033245775e-05,28098
66,3.055315028e-05,28115
67,2.039773426e-05,28134
68,1.865741615e-05,28137
69,1.588997293e-05,28141
70,1.133036767e-05,28143
71,1.985775089e-05,28191
72,1.626662015e-05,28193
73,1.832771159e-05,28197
74,1.885784513e-05,28218
75,1.998833795e-05,28226
76,3.040790762e-05,28230
77,9.607886568e-06,28232
78,1.436398634e-05,28235
79,1.343989334e-05,28237
80,3.028758692e-05,28240
81,1.843546124e-05,28253
82,1.864849764e-05,28254
83,3.362394273e-05,28262
84,2.657965888e-05,28278
85,2.078141733e-05,28284
86,1.673334555e-05,28294
87,1.712190897e-05,28305
88,1.839299875e-05,28347
89,2.600281368e-05,28356
90,1.417728072e-05,28358
91,1.900958887e-05,28375
92,2.129345012e-05,28387
93,1.511562732e-05,28388
94,1.85943627e-05,28411
95,1.7549728e-05,28418
96,4.691491995e-06,13808
97,4.148332209e-06,13843
98,6.313682661e-06,13846
99,9.556079021e-06,13905
100,1.182064079e-05,13913
101,1.624164724e-05,14016
102,8.660619642e-06,14050
103,8.208264262e-06,14067
104,1.366524612e-05,14072
105,8.706964763e-06,14263
106,8.23224218e-06,14265
107,9.758275155e-06,14271
108,5.844316547e-06,14292
109,7.799811101e-06,14342
110,1.371566668e-05,14346
111,1.800943392e-05,14385
112,9.153183782e-06,14396
113,9.86714258e-06,14517
114,9.135883374e-06,14522
115,6.351758202e-06,14546
116,1.147975945e-05,14561
117,1.961824455e-05,14568
118,1.343149688e-05,14583
119,9.939253687e-06,14624
120,9.059887816e-06,14708
121,1.186269492e-05,14729
122,1.293324203e-05,14839
123,9.480905646e-06,14871
124,6.713246421e-06,14877
125,5.00263377e-06,14905
126,9.509838492e-06,14911
127,1.458140196e-05,14917
128,7.19126183e-06,18702
129,1.747024908e-05,18736
130,1.193331809e-05,18745
131,1.679233173e-05,18757
132,1.602707925e-05,18758
133,6.392128853e-06,18809
134,2.428298285e-05,18812
135,8.96131769e-06,18815
136,2.054030665e-05,18822
137,1.4256143e-05,18846
138,1.076380431e-05,18856
139,1.122712547e-05,18865
140,7.431195627e-06,18879
141,2.461434451e-05,18881
142,4.076377081e-06,18894
143,1.030911881e-05,18931
144,1.080233869e-05,18975
145,1.300098029e-05,19009
146,1.024678113e-05,19013
147,9.693831089e-06,19021
148,5.879764103e-06,19051
149,2.11074057e-05,19087
150,1.847977182e-05,19092
151,5.348495051e-06,19104
152,2.26935008e-05,19121
153,2.802855124e-05,19131
154,5.826872439e-06,19142
155,4.426426585e-06,19177
156,5.449510809e-06,19225
157,1.457207145e-05,19240
158,7.43584269e-06,19243
159,1.428472569e-05,19244
160,1.215872544e-05,571
161,1.521138347e-05,614
162,1.728893039e-05,640
163,7.222857676e-06,645
164,1.006854745e-05,681
165,9.083334589e-06,727
166,1.15731691e-05,783
167,8.959457773e-06,819
168,1.080142738e-05,910
169,6.543918516e-06,913
170,4.589910986e-06,1922
171,5.746539955e-06,1969
172,1.394323863e-05,2194
173,6.794039109e-06,2232
174,1.694336061e-05,2467
175,6.000077519e-06,2807
176,8.627188436e-06,2821
177,1.227713165e-05,3435
178,7.930183529e-06,3456
179,1.065452489e-05,3490
180,1.492062529e-05,3502
181,1.33202584e-05,3512
182,1.049146067e-05,3566
183,6.906961517e-06,4281
184,7.574412848e-06,4309
185,6.238512469e-06,4468
186,1.082198742e-05,4555
187,2.049851901e-05,4958
188,2.286542258e-05,4973
189,1.672907456e-05,4986
190,2.678183955e-05,5006
191,1.086369957e-05,5010
192,3.541658089e-06,49465
193,6.40637063e-06,49471
194,1.153158883e-05,49476
195,1.439800963e-05,49477
196,1.078788409e-05,49480
197,7.5078583e-06,49481
198,1.134969898e-05,49483
199,1.013142082e-05,49484
200,1.977549618e-05,49487
201,1.703626913e-05,49488
202,1.643268297e-05,49491
203,1.005268223e-05,49493
204,9.157027307e-06,49495
205,1.579373202e-05,49498
206,1.162665376e-05,49499
207,1.467150014e-05,49503
208,8.351609722e-06,49512
209,5.210762993e-06,49514
210,1.072790837e-05,49518
211,1.663113471e-05,49522
212,8.785666068e-06,49525
213,2.065622539e-05,49528
214,1.154282108e-05,49529
215,5.350304946e-06,49531
216,3.223837439e-06,49532
217,1.637511377e-05,49533
218,1.223166782e-05,49538
219,9.119356946e-06,49541
220,1.91767831e-05,49545
221,7.547088444e-06,49548
222,3.502649179e-06,49550
223,1.434765363e-05,49561
224,1.323417291e-05,41767
225,3.116618973e-05,41768
226,1.38510959e-05,41777
227,5.218328806e-05,41785
228,1.434459227e-05,41802
229,2.200839663e-05,41818
230,1.385420273e-05,41833
231,3.371162529e-05,41834
232,1.887203507e-05,41848
233,2.1961936e-05,41868
234,9.717999092e-06,41870
235,1.578346019e-05,41886
236,1.194712513e-05,41899
237,1.112817426e-05,41901
238,6.468896572e-06,41915
239,3.961177208e-05,41921
240,3.041623495e-05,41922
241,2.348918861e-05,41923
242,7.451232705e-06,41933
243,1.590180364e-05,41940
244,1.012367557e-05,41957
245,1.525863081e-05,41959
246,2.782092088e-05,41989
247,1.584468919e-05,41992
248,1.301503562e-05,41996
249,1.714991959e-05,42002
250,9.040792975e-06,42007
251,1.880244236e-05,42027
252,1.188385977e-05,42030
253,8.094092664e-06,42031
254,1.275202521e-05,42040
255,1.549505578e-05,42046
256,1.700939356e-05,58118
257,8.668863302e-06,58119
258,1.141601388e-05,58120
259,1.15653047e-05,58121
260,2.973969458e-06,58122
261,4.620066647e-06,58124
262,7.155436379e-06,58127
263,9.092766959e-06,58139
264,1.069791415e-05,58143
265,1.963389695e-05,58145
266,6.957559435e-06,58151
267,1.852686e-05,58160
268,1.499722748e-05,58161
269,7.915878086e-06,58164
270,2.973962864e-06,58169
271,9.782524103e-06,58175
272,7.610493412e-06,58180
273,4.904642537e-06,58194
274,1.45741833e-05,58206
275,1.038711434e-05,58210
276,1.013583642e-05,58214
277,1.39896074e-05,58219
278,9.126399164e-06,58222
279,1.633594911e-05,58233
280,1.197711572e-05,58236
281,2.13918629e-05,58240
282,6.025408311e-06,58241
283,9.314798262e-06,58245
284,1.365418029e-05,58247
285,2.045632937e-05,58250
286,6.599334938e-06,58253
287,1.050301489e-05,58260
288,1.65434667e-05,6196
289,1.448905732e-05,6204
290,2.237382432e-05,6213
291,1.927628182e-05,6217
292,2.32217717e-05,6234
293,1.299949417e-05,6235
294,2.227936602e-05,6238
295,2.412617687e-05,6271
296,1.861894452e-05,6297
297,1.509634058e-05,6309
298,1.638879803e-05,6324
299,1.996259562e-05,6345
300,1.978553337e-05,6357
301,2.080151899e-05,6379
302,2.570176912e-05,6392
303,3.001233381e-05,6407
304,1.862786849e-05,6412
305,1.827785127e-05,6413
306,3.929317609e-05,6418
307,3.569112596e-05,6419
308,1.697337939e-05,6422
309,1.13605056e-05,6440
310,3.280126475e-05,6441
311,2.222591866e-05,6446
312,2.973238952e-05,6456
313,1.923124364e-05,6474
314,1.787973451e-05,6475
315,2.48924789e-05,6495
316,1.964596595e-05,6499
317,1.732551573e-05,6504
318,3.486616333e-05,6542
319,2.031200893e-05,6543
320,2.016303551e-05,43218
321,2.60877132e-05,43228
322,2.950533963e-05,43229
323,1.823293496e-05,43232
324,5.176544619e-06,43236
325,1.281175446e-05,43246
326,1.513242569e-05,43253
327,3.376274208e-06,43255
328,4.676476237e-06,43257
329,1.331594285e-05,43262
330,4.146668743e-06,43266
331,6.474282145e-06,43268
332,1.054283257e-05,43272
333,2.303513611e-05,43275
334,6.392872365e-06,43279
335,1.161124601e-05,43284
336,4.232129868e-06,43285
337,9.937562936e-06,43289
338,9.205348761e-06,43290
339,8.142471415e-06,43297
340,7.017891221e-06,43307
341,2.094780939e-05,43308
342,7.854856449e-06,43318
343,9.004654203e-06,43319
344,2.286126619e-05,43324
345,1.113944381e-05,43325
346,1.215918655e-05,43326
347,9.891518857e-06,43328
348,1.151006836e-05,43332
349,1.560572491e-05,43333
350,1.537090066e-05,43346
351,6.709075478e-06,43348
352,1.422958485e-05,28550
353,7.337307579e-06,28559
354,1.294148751e-05,28560
355,9.234853678e-06,28569
356,3.479973884e-06,28578
357,1.288327167e-05,28580
358,1.5292424e-05,28598
359,1.043095563e-05,28604
360,9.584440704e-06,28620
361,1.50519445e-05,28634
362,3.135737416e-06,28641
363,8.109874216e-06,28663
364,1.313795929e-05,28676
365,4.454079772e-06,28680
366,1.086254179e-05,28696
367,6.581697107e-06,28701
