,partition,vertex
0,1981,18537
1,1177,18539
2,5371,18545
3,5372,18546
4,5373,18547
5,10253,18549
6,5374,18550
7,12260,18553
8,11581,18554
9,5375,18556
10,5376,18558
11,13501,18560
12,11702,18563
13,5377,18564
14,15923,18566
15,1502,18570
16,1501,18577
17,13908,18578
18,15778,18579
19,9700,18582
20,5378,18590
21,11645,18592
22,10251,18593
23,5379,18594
24,15542,18597
25,13503,18599
26,9898,18600
27,5380,18603
28,5381,18605
29,1179,18607
30,1176,18616
31,5382,18617
32,14001,51575
33,7477,51576
34,8609,51577
35,14002,51578
36,14003,51582
37,14004,51583
38,14005,51587
39,14006,51588
40,14007,51590
41,14008,51591
42,14009,51592
43,605,51594
44,14010,51595
45,308,51596
46,14011,51597
47,14012,51599
48,14013,51602
49,14014,51604
50,14015,51606
51,14016,51609
52,14017,51611
53,14018,51613
54,2115,51614
55,14019,51615
56,14020,51616
57,14021,51617
58,14022,51618
59,2902,51622
60,143,51624
61,14023,51625
62,14024,51626
63,2543,51627
64,3837,42903
65,1469,42909
66,8795,42912
67,4418,42913
68,11946,42918
69,5000,42924
70,11947,42925
71,8804,42932
72,8805,42937
73,8808,42939
74,8806,42944
75,2481,42945
76,8801,42948
77,4408,42950
78,4405,42952
79,8811,42956
80,1479,42957
81,8798,42959
82,1331,42960
83,5464,42961
84,779,42962
85,8812,42964
86,11948,42967
87,134,42970
88,5458,42972
89,2288,42976
90,8814,42980
91,11949,42984
92,11950,42995
93,3963,42996
94,4447,42998
95,11951,42999
96,6873,29738
97,2697,29739
98,2695,29740
99,10602,29743
100,6874,29744
101,6875,29748
102,2690,29752
103,13735,29754
104,1783,29756
105,10604,29757
106,14696,29760
107,4228,29767
108,10633,29770
109,1808,29773
110,10608,29778
111,6876,29779
112,10610,29782
113,2764,29784
114,6877,29786
115,6878,29789
116,2803,29790
117,14862,29792
118,2766,29793
119,2754,29794
120,6879,29798
121,2804,29800
122,6880,29805
123,13873,29806
124,2101,29809
125,6881,29810
126,13846,29813
127,6882,29814
128,5713,21581
129,5644,21582
130,3461,21583
131,5653,21585
132,5714,21591
133,9769,21592
134,298,21593
135,9770,21594
136,3996,21596
137,5717,21598
138,1920,21605
139,5699,21606
140,9771,21607
141,5571,21609
142,5712,21611
143,5313,21618
144,9772,21619
145,2668,21620
146,9773,21621
147,5684,21626
148,5685,21628
149,2099,21631
150,9774,21634
151,417,21636
152,1418,21637
153,5683,21638
154,9775,21640
155,5711,21642
156,9776,21644
157,9777,21646
158,5719,21647
159,9778,21649
160,4949,13685
161,1824,13686
162,14869,13687
163,12214,13689
164,1831,13690
165,14843,13693
166,4950,13696
167,10650,13698
168,13853,13700
169,12373,13706
170,4951,13709
171,14847,13710
172,2724,13714
173,10607,13716
174,10660,13718
175,12249,13724
176,14825,13727
177,14840,13728
178,4952,13730
179,4953,13731
180,14832,13735
181,14781,13736
182,11779,13739
183,11915,13740
184,14826,13742
185,10616,13744
186,1830,13752
187,2741,13753
188,4954,13757
189,11893,13760
190,14861,13762
191,4955,13763
192,1147,2929
193,1148,2930
194,4006,2932
195,1149,2934
196,4008,2940
197,1146,2941
198,1144,2943
199,3971,2944
200,1155,2946
201,4007,2947
202,3998,2948
203,4001,2949
204,82,2950
205,1197,2951
206,3276,2952
207,1203,2953
208,1286,2954
209,1287,2955
210,1187,2956
211,1188,2957
212,83,2958
213,3974,2961
214,3205,2962
215,3204,2963
216,1189,2964
217,3210,2966
218,1190,2967
219,3956,2970
220,4339,2974
221,3298,2975
222,3967,2983
223,1191,2985
224,11709,19543
225,15692,19545
226,5467,19547
227,5468,19549
228,11283,19550
229,10289,19552
230,5469,19554
231,5470,19555
232,15868,19559
233,2116,19561
234,11392,19565
235,10121,19566
236,10112,19567
237,1204,19572
238,15592,19575
239,5471,19579
240,5472,19580
241,5473,19581
242,11976,19585
243,10114,19586
244,1411,19588
245,2287,19593
246,5474,19596
247,15889,19606
248,1209,19607
249,2096,19610
250,10120,19613
251,15606,19618
252,15883,19619
253,14016,19625
254,5475,19631
255,5476,19635
256,3675,54978
257,606,54980
258,9461,54983
259,9258,54985
260,15285,54986
261,15286,54992
262,15287,54993
263,15288,54997
264,15289,55000
265,15290,55001
266,15291,55002
267,3623,55003
268,3373,55004
269,15292,55006
270,3630,55009
271,15293,55010
272,15294,55011
273,15295,55012
274,9300,55013
275,15296,55014
276,9298,55016
277,15297,55017
278,15298,55022
279,15299,55023
280,15300,55024
281,3707,55026
282,15301,55027
283,8918,55028
284,8919,55029
285,15302,55030
286,15303,55033
287,15304,55035
