,partition,vertex
0,11718,40562
1,11719,40570
2,1071,40576
3,11720,40577
4,11721,40579
5,8458,40581
6,11722,40582
7,8360,40591
8,4392,40592
9,8461,40598
10,8463,40600
11,8464,40603
12,8462,40605
13,11723,40607
14,887,40609
15,11724,40611
16,4014,40613
17,8465,40614
18,8460,40616
19,11725,40618
20,582,40621
21,11726,40628
22,8440,40629
23,912,40634
24,11727,40635
25,8466,40636
26,8467,40641
27,1073,40642
28,4397,40643
29,11728,40644
30,11729,40646
31,11730,40649
32,4513,10967
33,2473,10969
34,2491,10970
35,2330,10972
36,2367,10973
37,3568,10974
38,3801,10977
39,4449,10980
40,3556,10994
41,4019,10999
42,350,11006
43,351,11012
44,352,11017
45,2450,11020
46,3569,11022
47,353,11023
48,2452,11024
49,4293,11027
50,4310,11033
51,354,11034
52,355,11035
53,3788,11039
54,3782,11040
55,356,11048
56,4155,11057
57,4112,11064
58,4100,11070
59,357,11078
60,358,11079
61,359,11080
62,360,11084
63,3680,11085
64,1981,18537
65,1177,18539
66,5371,18545
67,5372,18546
68,5373,18547
69,10253,18549
70,5374,18550
71,12260,18553
72,11581,18554
73,5375,18556
74,5376,18558
75,13501,18560
76,11702,18563
77,5377,18564
78,15923,18566
79,1502,18570
80,1501,18577
81,13908,18578
82,15778,18579
83,9700,18582
84,5378,18590
85,11645,18592
86,10251,18593
87,5379,18594
88,15542,18597
89,13503,18599
90,9898,18600
91,5380,18603
92,5381,18605
93,1179,18607
94,1176,18616
95,5382,18617
96,10428,27920
97,6210,27921
98,6600,27922
99,10429,27926
100,3260,27931
101,1278,27933
102,2091,27934
103,10430,27936
104,5137,27938
105,6601,27941
106,3396,27943
107,6603,27947
108,5155,27949
109,6604,27950
110,496,27951
111,4170,27953
112,4150,27956
113,10431,27957
114,10432,27958
115,10433,27961
116,6608,27968
117,5295,27969
118,10434,27971
119,10435,27973
120,10436,27974
121,6607,27976
122,10437,27978
123,3597,27984
124,6611,27989
125,6610,27991
126,10438,27993
127,1217,27996
128,6873,29738
129,2697,29739
130,2695,29740
131,10602,29743
132,6874,29744
133,6875,29748
134,2690,29752
135,13735,29754
136,1783,29756
137,10604,29757
138,14696,29760
139,4228,29767
140,10633,29770
141,1808,29773
142,10608,29778
143,6876,29779
144,10610,29782
145,2764,29784
146,6877,29786
147,6878,29789
148,2803,29790
149,14862,29792
150,2766,29793
151,2754,29794
152,6879,29798
153,2804,29800
154,6880,29805
155,13873,29806
156,2101,29809
157,6881,29810
158,13846,29813
159,6882,29814
160,10240,18332
161,1304,18338
162,2012,18339
163,2015,18350
164,9731,18355
165,11667,18359
166,5355,18361
167,11935,18363
168,9622,18366
169,10279,18369
170,12968,18372
171,5356,18378
172,10386,18382
173,871,18384
174,15824,18386
175,10264,18387
176,5357,18391
177,1295,18396
178,9927,18401
179,11756,18403
180,9910,18405
181,5358,18408
182,14,18409
183,5359,18413
184,2105,18414
185,13547,18415
186,523,18419
187,12189,18424
188,1076,18428
189,16147,18429
190,5360,18432
191,15712,18433
192,4009,27670
193,1218,27671
194,10399,27673
195,1231,27674
196,6571,27678
197,1233,27682
198,3975,27684
199,10400,27686
200,5143,27691
201,4191,27693
202,520,27696
203,6573,27697
204,10401,27698
205,10402,27700
206,6562,27701
207,10403,27711
208,10404,27712
209,1047,27713
210,3463,27716
211,3462,27718
212,3335,27720
213,1139,27722
214,3647,27725
215,3438,27727
216,10405,27729
217,6574,27733
218,6575,27734
219,6578,27747
220,6576,27750
221,6579,27751
222,3526,27752
223,10406,27753
224,7395,33449
225,7396,33450
226,7397,33451
227,3109,33452
228,7398,33455
229,12909,33460
230,12910,33463
231,7399,33464
232,7400,33466
233,1622,33469
234,3113,33472
235,11241,33478
236,2972,33481
237,10992,33482
238,7401,33489
239,7402,33490
240,7403,33491
241,7404,33497
242,16685,33498
243,1594,33500
244,706,33501
245,16615,33504
246,3111,33505
247,11006,33513
248,10993,33514
249,7405,33515
250,16716,33517
251,7406,33518
252,7407,33521
253,16795,33524
254,2945,33526
255,2947,33530
256,12052,44059
257,15729,44063
258,8964,44065
259,1333,44066
260,8965,44067
261,15726,44070
262,13478,44071
263,3897,44074
264,13502,44075
265,8966,44077
266,15727,44080
267,15732,44083
268,15731,44087
269,15082,44089
270,8967,44091
271,3330,44092
272,1332,44093
273,13453,44095
274,4448,44097
275,2256,44099
276,2479,44101
277,15657,44103
278,13495,44104
279,359,44107
280,2040,44108
281,8968,44109
282,15654,44111
283,2148,44116
284,8969,44120
285,8970,44122
286,15615,44123
287,15613,44124
288,14001,51575
289,7477,51576
290,8609,51577
291,14002,51578
292,14003,51582
293,14004,51583
294,14005,51587
295,14006,51588
296,14007,51590
297,14008,51591
298,14009,51592
299,605,51594
300,14010,51595
301,308,51596
302,14011,51597
303,14012,51599
304,14013,51602
305,14014,51604
306,14015,51606
307,14016,51609
308,14017,51611
309,14018,51613
310,2115,51614
311,14019,51615
312,14020,51616
313,14021,51617
314,14022,51618
315,2902,51622
316,143,51624
317,14023,51625
318,14024,51626
319,2543,51627
320,5713,21581
321,5644,21582
322,3461,21583
323,5653,21585
324,5714,21591
325,9769,21592
326,298,21593
327,9770,21594
328,3996,21596
329,5717,21598
