,betweenness_centrality,vertex
0,0.0,18537
1,0.0,18539
2,0.0,18545
3,0.0,18546
4,0.0,18547
5,0.0,18549
6,0.0,18550
7,0.0,18553
8,0.0,18554
9,0.0,18556
10,0.0,18558
11,0.0,18560
12,0.0,18563
13,0.0,18564
14,0.0,18566
15,0.0,18570
16,0.0,18577
17,0.0,18578
18,0.0,18579
19,0.0,18582
20,0.0,18590
21,0.0,18592
22,0.0,18593
23,0.0,18594
24,0.0,18597
25,0.0,18599
26,0.0,18600
27,0.0,18603
28,0.0,18605
29,0.0,18607
30,0.0,18616
31,0.0,18617
32,0.0,29738
33,0.0,29739
34,0.0,29740
35,0.0,29743
36,0.0,29744
37,0.0,29748
38,0.0,29752
39,0.0,29754
40,0.0,29756
41,0.0,29757
42,0.0,29760
43,0.0,29767
44,0.0,29770
45,0.0,29773
46,0.0,29778
47,0.0,29779
48,0.0,29782
49,0.0,29784
50,0.0,29786
51,0.0,29789
52,0.0,29790
53,0.0,29792
54,0.0,29793
55,0.0,29794
56,0.0,29798
57,0.0,29800
58,0.0,29805
59,0.0,29806
60,0.0,29809
61,0.0,29810
62,0.0,29813
63,0.0,29814
64,0.0,27670
65,0.0,27671
66,0.0,27673
67,0.0,27674
68,0.0,27678
69,0.0,27682
70,0.0,27684
71,0.0,27686
72,0.0,27691
73,0.0,27693
74,0.0,27696
75,0.0,27697
76,0.0,27698
77,0.0,27700
78,0.0,27701
79,0.0,27711
80,0.0,27712
81,0.0,27713
82,0.0,27716
83,0.0,27718
84,0.0,27720
85,0.0,27722
86,0.0,27725
87,0.0,27727
88,0.0,27729
89,0.0,27733
90,0.0,27734
91,0.0,27747
92,0.0,27750
93,0.0,27751
94,0.0,27752
95,0.0,27753
96,0.0,13685
97,0.0,13686
98,0.0,13687
99,0.0,13689
100,0.0,13690
101,0.0,13693
102,0.0,13696
103,0.0,13698
104,0.0,13700
105,0.0,13706
106,0.0,13709
107,0.0,13710
108,0.0,13714
109,0.0,13716
110,0.0,13718
111,0.0,13724
112,0.0,13727
113,0.0,13728
114,0.0,13730
115,0.0,13731
116,0.0,13735
117,0.0,13736
118,0.0,13739
119,0.0,13740
120,0.0,13742
121,0.0,13744
122,0.0,13752
123,0.0,13753
124,0.0,13757
125,0.0,13760
126,0.0,13762
127,0.0,13763
128,0.0,11112
129,0.0,11114
130,0.0,11116
131,0.0,11117
132,0.0,11119
133,0.0,11120
134,0.0,11122
135,0.0,11123
136,0.0,11130
137,0.0,11133
138,0.0,11135
139,0.0,11136
140,0.0,11138
141,0.0,11141
142,0.0,11142
143,0.0,11143
144,0.0,11146
145,0.0,11147
146,0.0,11148
147,0.0,11151
148,0.0,11154
149,0.0,11156
150,0.0,11159
151,0.0,11161
152,0.0,11167
153,0.0,11169
154,0.0,11170
155,0.0,11172
156,0.0,11173
157,0.0,11174
158,0.0,11175
159,0.0,11178
160,0.0,46460
161,0.0,46461
162,0.0,46462
163,0.0,46466
164,0.0,46470
165,0.0,46471
166,0.0,46473
167,0.0,46474
168,0.0,46476
169,0.0,46477
170,0.0,46478
171,0.0,46483
172,0.0,46484
173,0.0,46494
174,0.0,46496
175,0.0,46497
176,0.0,46499
177,0.0,46502
178,0.0,46505
179,0.0,46507
180,0.0,46508
181,0.0,46509
182,0.0,46510
183,0.0,46512
184,0.0,46513
185,0.0,46521
