,partition,vertex
0,60,37516
1,5,37523
2,154,37527
3,132,37531
4,18,37538
5,51,37541
6,15,37545
7,47,37549
8,48,37561
9,154,37568
10,50,37576
11,97,37578
12,89,37581
13,60,37593
14,111,37595
15,125,37600
16,149,37601
17,143,37622
18,79,37634
19,97,37639
20,68,37642
21,43,37659
22,179,37662
23,8,37663
24,32,37665
25,131,37672
26,19,37684
27,85,37686
28,7,37692
29,147,37698
30,205,37700
31,101,37713
32,55,1145
33,21,1161
34,112,1298
35,18,1359
36,100,1381
37,7,1405
38,210,1445
39,72,1461
40,48,1483
41,119,1543
42,89,1551
43,62,1554
44,103,1557
45,50,1560
46,105,1573
47,92,1587
48,71,1596
49,35,1622
50,50,1636
51,160,1668
52,138,1687
53,48,1748
54,225,1762
55,113,1791
56,72,1817
57,109,1849
58,49,1884
59,50,1899
60,22,1917
61,42,1933
62,104,1945
63,136,1948
64,64,51866
65,32,51868
66,136,51877
67,109,51880
68,195,51883
69,230,51884
70,75,51886
71,111,51889
72,44,51890
73,128,51893
74,24,51897
75,151,51898
76,87,51911
77,56,51912
78,52,51913
79,9,51917
80,50,51918
81,122,51922
82,101,51926
83,143,51930
84,234,51931
85,110,51932
86,205,51934
87,145,51936
88,71,51941
89,230,51942
90,137,51948
91,73,51949
92,156,51950
93,149,51951
94,124,51952
95,211,51953
96,119,49463
97,92,49465
98,121,49471
99,137,49477
100,48,49480
101,47,49483
102,137,49484
103,72,49487
104,15,49488
105,20,49489
106,53,49492
107,83,49493
108,143,49494
109,106,49495
110,60,49498
111,101,49499
112,217,49512
113,227,49514
114,78,49518
115,48,49520
116,149,49522
117,48,49525
118,231,49528
119,57,49529
120,176,49530
121,48,49531
122,142,49532
123,235,49533
124,71,49538
125,40,49541
126,101,49545
127,112,49548
128,77,23731
129,128,23770
130,85,23772
131,45,23778
132,60,23783
133,69,23795
134,7,23805
135,187,23823
136,136,23830
137,22,23834
138,137,23850
139,142,23855
140,169,23864
141,23,23865
142,41,23870
143,161,23872
144,30,23873
145,31,23905
146,150,23908
147,4,23909
148,86,23913
149,134,23925
150,12,23929
151,149,23962
152,150,23964
153,75,23970
154,195,23972
155,56,23976
156,97,23987
157,231,23996
158,125,24004
159,63,24017
160,60,19053
161,32,19055
162,156,19077
163,195,19080
164,81,19082
165,131,19090
166,74,19100
167,109,19101
168,156,19124
169,125,19128
170,35,19130
171,60,19135
172,208,19140
173,13,19147
174,205,19148
175,217,19150
176,160,19154
177,148,19155
178,50,19161
179,74,19178
180,195,19182
181,71,19188
182,57,19196
183,195,19229
184,123,19234
185,96,19248
186,230,19259
187,145,19283
188,32,19288
189,75,19302
190,109,19312
191,127,19314
192,121,50591
193,55,50612
194,203,50634
195,26,50643
196,40,50644
197,29,50703
198,43,50711
199,138,50738
200,32,50778
201,208,50785
202,38,50830
203,90,50855
204,101,50861
205,40,50972
206,147,50993
207,63,51009
208,19,51071
209,103,51091
210,67,51112
211,176,51194
212,22,51207
213,47,51209
214,82,51221
215,60,51225
216,45,51230
217,144,51265
218,10,51280
219,87,51289
220,225,51307
221,103,51314
222,132,51337
223,110,51378
224,157,52706
225,103,52827
226,151,53183
227,54,53268
228,61,53474
229,128,53521
230,150,53630
231,202,53720
232,195,53944
233,86,53953
234,201,54009
235,219,54096
236,43,54354
237,169,54356
238,103,54742
239,24,54888
240,89,54962
241,58,55485
242,137,55582
243,56,55593
244,19,55609
245,101,55639
246,70,56072
247,219,56966
248,34,69
249,124,292
250,75,360
251,17,374
252,2,507
253,154,525
254,35,614
255,65,655
256,48,18946
257,195,18947
258,22,18953
259,101,18954
260,13,18959
261,89,18973
262,208,18975
263,132,18983
264,111,18994
265,211,19000
266,128,19007
267,69,19010
268,157,19011
269,205,19023
270,44,19027
271,103,19036
272,76,19038
273,47,19044
274,68,19048
275,123,19066
276,31,19083
277,104,19098
278,101,19105
279,83,19106
280,76,19107
281,154,19110
282,65,19120
283,96,19122
284,35,19137
285,53,19138
286,146,19141
287,128,19170
288,1,54365
289,42,54367
290,71,54371
291,157,54373
292,72,54377
293,150,54379
294,41,54383
295,124,54389
296,5,54390
297,44,54392
298,63,54394
299,81,54395
300,104,54396
301,219,54397
302,137,54400
303,107,54406
304,64,54408
305,83,54411
306,44,54412
307,84,54415
308,110,54419
309,55,54423
310,145,54428
311,94,54429
312,115,54431
313,125,54434
314,115,54439
315,124,54445
316,10,54446
317,15,54447
318,130,54448
319,77,54451
320,179,47895
321,53,47896
322,80,47897
323,126,47899
324,15,47908
325,13,47914
326,58,47918
327,79,47920
328,90,47928
329,125,47943
330,60,47947
331,42,47956
332,31,47959
333,15,47974
334,119,47988
335,142,47991
336,139,47994
337,147,48012
338,143,48024
339,64,48025
340,240,48035
341,79,48044
342,50,48048
343,161,48051
344,60,48052
345,235,48057
346,85,48065
347,71,48070
348,50,48071
349,235,48088
350,127,48100
351,58,48101
352,58,51670
353,113,51672
354,210,51673
355,205,51675
356,120,51676
357,39,51677
358,29,51680
359,92,51683
360,120,51687
361,127,51691
362,76,51692
363,14,51695
364,134,51697
365,117,51702
366,195,51703
367,103,51704
368,146,51713
369,82,51714
370,51,51716
371,84,51719
372,24,51722
373,112,51724
374,70,51725
375,211,51733
376,137,51735
377,43,51739
378,157,51740
379,9,51746
380,71,51747
381,74,51753
382,104,51757
383,126,51760
384,47,29677
385,132,29687
386,129,29689
387,73,29690
388,111,29694
389,149,29700
390,127,29704
391,78,29707
392,157,29711
393,140,29724
394,33,29733
395,81,29736
396,60,29737
397,46,29738
398,101,29740
399,179,29741
400,24,29745
401,63,29747
402,132,29757
403,195,29773
404,94,29774
405,7,29784
406,169,29788
407,125,29791
408,195,29792
409,202,29799
410,118,29803
411,234,29807
412,81,29813
413,163,29815
414,149,29816
415,23,29822
416,15,20327
417,75,20343
418,128,20344
419,119,20352
420,21,20353
421,64,20357
422,47,20363
423,208,20372
424,125,20375
425,74,20387
426,80,20391
427,160,20404
428,119,20408
429,55,20410
430,0,20414
431,39,20429
432,119,20432
433,39,20448
434,202,20461
435,57,20469
436,44,20490
437,4,20509
438,240,20519
439,86,20530
440,96,20535
441,91,20539
442,136,20542
443,2,20570
444,96,20573
445,231,20582
446,33,20600
447,101,20603
448,83,56142
449,136,56152
450,176,56153
451,55,56154
452,77,56156
453,234,56157
454,38,56158
455,74,56159
456,0,56161
457,63,56163
458,38,56165
459,108,56172
460,25,56173
461,60,56174
462,211,56176
463,32,56177
464,18,56178
465,7,56180
466,19,56184
467,205,56185
468,202,56186
469,60,56189
470,108,56191
471,159,56193
472,51,56195
473,86,56196
474,58,56198
475,143,56200
476,107,56201
477,138,56203
478,24,56207
479,124,56208
