,pagerank,vertex
0,1.751359378e-05,1145
1,1.435090053e-05,1161
2,1.434849946e-05,1298
3,1.663413241e-05,1359
4,1.667527249e-05,1381
5,1.538437209e-05,1405
6,1.551525565e-05,1445
7,1.78784976e-05,1461
8,1.629336839e-05,1483
9,1.670843812e-05,1543
10,1.997415893e-05,1551
11,2.181942e-05,1554
12,2.061449413e-05,1557
13,1.852838432e-05,1560
14,1.654562948e-05,1573
15,1.699540189e-05,1587
16,1.755580888e-05,1596
17,1.69030136e-05,1622
18,2.303151632e-05,1636
19,1.916886504e-05,1668
20,1.754850564e-05,1687
21,1.986421921e-05,1748
22,1.925930519e-05,1762
23,1.540367703e-05,1791
24,1.749201147e-05,1817
25,1.887088183e-05,1849
26,1.781022911e-05,1884
27,1.501500083e-05,1899
28,1.482725474e-05,1917
29,1.516689645e-05,1933
30,1.599647112e-05,1945
31,1.634490582e-05,1948
32,1.503285421e-05,37516
33,2.071467679e-05,37523
34,1.444938152e-05,37527
35,1.590152897e-05,37531
36,1.323420111e-05,37538
37,2.362258601e-05,37541
38,1.206949764e-05,37545
39,1.625122968e-05,37549
40,2.246981057e-05,37561
41,1.677895671e-05,37568
42,1.908598824e-05,37576
43,1.449366391e-05,37578
44,1.161827186e-05,37581
45,1.561079807e-05,37593
46,1.448565399e-05,37595
47,3.435986582e-05,37600
48,1.717049781e-05,37601
49,1.351841638e-05,37622
50,1.961535781e-05,37634
51,9.341221812e-06,37639
52,1.447347677e-05,37642
53,1.294592039e-05,37659
54,1.718471503e-05,37662
55,2.184414552e-05,37663
56,1.584588426e-05,37665
57,3.350333645e-05,37672
58,2.239886453e-05,37684
59,1.280690049e-05,37686
60,1.240808797e-05,37692
61,1.118273394e-05,37698
62,1.309821073e-05,37700
63,2.088698238e-05,37713
64,1.900564348e-05,37701
65,1.806636828e-05,37710
66,1.78603932e-05,37717
67,1.470543521e-05,37724
68,1.621843694e-05,37740
69,1.628211066e-05,37762
70,1.063955006e-05,37766
71,2.539029265e-05,37774
72,1.845073166e-05,37776
73,1.820256693e-05,37791
74,2.770065294e-05,37793
75,1.863750185e-05,37798
76,2.770152241e-05,37811
77,1.579253512e-05,37819
78,1.589024578e-05,37820
79,1.428172254e-05,37849
80,2.942313949e-05,37862
81,2.185122503e-05,37863
82,1.587777479e-05,37866
83,1.278491709e-05,37869
84,2.48100514e-05,37870
85,2.466987462e-05,37871
86,1.836128831e-05,37874
87,2.220273564e-05,37885
88,1.36810304e-05,37906
89,2.446253711e-05,37909
90,1.606672959e-05,37912
91,1.38207788e-05,37918
92,1.654856896e-05,37922
93,2.135052273e-05,37925
94,2.261782538e-05,37927
95,2.040740765e-05,37928
96,8.499411706e-06,51670
97,1.308530591e-05,51672
98,9.1050224e-06,51673
99,9.073259207e-06,51675
100,9.940601558e-06,51676
101,1.232592149e-05,51677
102,1.238999994e-05,51680
103,8.634760889e-06,51683
104,8.929787327e-06,51687
105,1.399437951e-05,51691
106,6.753000434e-06,51692
107,1.0547069e-05,51695
108,4.963779702e-06,51697
109,9.221737855e-06,51702
110,9.4313109e-06,51703
111,6.603288966e-06,51704
112,8.721461199e-06,51713
113,8.082028216e-06,51714
114,6.460885288e-06,51716
115,1.177866125e-05,51719
116,3.770709327e-06,51722
117,1.022372544e-05,51724
118,1.285349481e-05,51725
119,8.141207218e-06,51733
120,1.282308676e-05,51735
121,1.770856943e-05,51739
122,9.09992832e-06,51740
123,1.011361019e-05,51746
124,5.888323358e-06,51747
125,7.761836969e-06,51753
126,7.900713172e-06,51757
127,7.871693924e-06,51760
128,5.88405328e-06,51866
129,4.752637324e-06,51868
130,6.640150332e-06,51877
131,7.22674622e-06,51880
132,1.011152199e-05,51883
133,6.638441391e-06,51884
134,8.826066733e-06,51886
135,1.679770321e-05,51889
136,1.135805815e-05,51890
137,8.563672054e-06,51893
138,6.807415048e-06,51897
139,6.871294772e-06,51898
140,7.517997346e-06,51911
141,1.062066167e-05,51912
142,9.372265595e-06,51913
143,7.634032954e-06,51917
144,5.553283245e-06,51918
145,1.078745845e-05,51922
146,1.344743941e-05,51926
147,7.29108524e-06,51930
148,6.361223768e-06,51931
149,1.196508856e-05,51932
150,9.441682778e-06,51934
151,1.220652757e-05,51936
152,9.162506103e-06,51941
153,1.578122647e-05,51942
154,8.426535715e-06,51948
155,5.236211564e-06,51949
156,6.883334208e-06,51950
157,8.060274013e-06,51951
158,9.99108488e-06,51952
159,1.031801821e-05,51953
160,1.4254897e-05,23731
161,1.671708742e-05,23770
162,1.676715146e-05,23772
163,1.398145287e-05,23778
164,2.015211976e-05,23783
165,1.330124269e-05,23795
166,1.119917215e-05,23805
167,1.866177809e-05,23823
168,1.50737078e-05,23830
169,1.432316549e-05,23834
170,1.756076199e-05,23850
171,1.302324927e-05,23855
172,1.367802452e-05,23864
173,1.316875569e-05,23865
174,1.370507198e-05,23870
175,2.028714698e-05,23872
176,1.671575592e-05,23873
177,1.728702409e-05,23905
178,1.410041568e-05,23908
179,1.69170944e-05,23909
180,1.416368741e-05,23913
181,1.414765393e-05,23925
182,1.472709391e-05,23929
183,1.798548328e-05,23962
184,2.053416756e-05,23964
185,1.487960617e-05,23970
186,1.451236494e-05,23972
187,1.649353726e-05,23976
188,1.414002327e-05,23987
189,1.538342622e-05,23996
190,1.087053897e-05,24004
191,1.594192327e-05,24017
192,1.700891153e-05,18946
193,1.289881584e-05,18947
194,1.733673162e-05,18953
195,1.129449265e-05,18954
196,1.576020077e-05,18959
197,1.405829244e-05,18973
198,1.21774965e-05,18975
199,1.173400415e-05,18983
200,9.509196389e-06,18994
201,1.164652895e-05,19000
202,1.870461892e-05,19007
203,1.495331708e-05,19010
204,1.281747973e-05,19011
205,1.159869771e-05,19023
206,1.225006417e-05,19027
207,1.429224994e-05,19036
208,1.081202208e-05,19038
209,2.369961112e-05,19044
210,1.384738789e-05,19048
211,1.479682032e-05,19066
212,1.869472726e-05,19083
213,1.163933484e-05,19098
214,9.64498031e-06,19105
215,1.40881275e-05,19106
216,1.272222653e-05,19107
217,1.44620135e-05,19110
218,1.347617399e-05,19120
219,9.783570931e-06,19122
220,1.412560414e-05,19137
221,1.028334464e-05,19138
222,1.772448195e-05,19141
223,1.2913305e-05,19170
224,7.710940736e-06,50591
225,1.460574367e-05,50612
226,9.950034837e-06,50634
227,9.403218428e-06,50643
228,1.454355242e-05,50644
229,1.150636217e-05,50703
230,1.213571795e-05,50711
231,9.906811101e-06,50738
232,6.861552265e-06,50778
233,9.976860383e-06,50785
234,1.307952334e-05,50830
235,1.064864227e-05,50855
236,1.254067956e-05,50861
237,8.551282917e-06,50972
238,1.064336084e-05,50993
239,1.168596282e-05,51009
240,9.012537703e-06,51071
241,2.143357779e-05,51091
242,8.776235518e-06,51112
243,1.646315832e-05,51194
244,1.766405512e-05,51207
245,1.021709704e-05,51209
246,9.647883417e-06,51221
247,1.267912739e-05,51225
248,1.306054946e-05,51230
249,1.505633372e-05,51265
250,8.461405741e-06,51280
251,7.545135759e-06,51289
252,1.255858842e-05,51307
253,6.397692232e-06,51314
254,1.479922412e-05,51337
255,9.171815691e-06,51378
256,1.140525637e-05,54365
257,1.405655985e-05,54367
258,8.467412954e-06,54371
259,9.297910765e-06,54373
260,7.096303307e-06,54377
261,5.38004997e-06,54379
262,9.722227333e-06,54383
263,1.499701648e-05,54389
264,6.530616247e-06,54390
265,1.400566543e-05,54392
266,1.127210089e-05,54394
267,4.366428584e-06,54395
268,4.176298262e-06,54396
269,1.387308657e-05,54397
270,1.646930832e-05,54400
271,6.080667845e-06,54406
272,7.017657481e-06,54408
273,8.441114005e-06,54411
274,1.007284391e-05,54412
275,1.279535809e-05,54415
276,1.472011718e-05,54419
277,8.536227142e-06,54423
278,9.979036804e-06,54428
279,8.231697393e-06,54429
280,1.14188806e-05,54431
281,9.525081623e-06,54434
282,1.157165298e-05,54439
283,1.293663809e-05,54445
284,9.87268686e-06,54446
285,1.674693704e-05,54447
286,1.068942856e-05,54448
287,1.222493393e-05,54451
288,1.712926314e-05,40814
289,1.067058565e-05,40815
290,1.925436118e-05,40821
291,1.059740407e-05,40828
292,1.391649585e-05,40832
293,1.093786432e-05,40846
294,1.560451165e-05,40878
295,1.800134669e-05,40879
296,1.816699478e-05,40881
297,1.236095341e-05,40882
298,1.598820745e-05,40885
299,1.093483661e-05,40892
300,1.455705024e-05,40903
301,2.150208275e-05,40906
302,1.175349007e-05,40912
303,1.533545947e-05,40918
304,1.972322207e-05,40919
305,1.81329342e-05,40932
306,1.139210963e-05,40935
307,1.245764724e-05,40937
308,2.184490404e-05,40942
309,2.532055441e-05,40945
310,1.03045968e-05,40952
311,9.975448847e-06,40955
312,1.591500586e-05,40965
313,2.078583202e-05,40971
314,1.402355974e-05,40991
315,2.027255687e-05,40999
316,2.058019891e-05,41006
317,2.230762402e-05,41011
318,1.274713304e-05,41013
319,1.931600309e-05,41015
320,1.957891436e-05,44930
321,1.858084033e-05,44959
322,2.782243791e-05,44975
323,1.989632437e-05,44994
324,1.686765427e-05,45012
325,3.367280806e-05,45027
326,1.457600865e-05,45034
327,1.567674008e-05,45046
328,2.245710493e-05,45057
329,1.716642691e-05,45060
330,1.964181865e-05,45083
331,2.667215085e-05,45092
332,1.931437691e-05,45098
333,4.121485836e-05,45100
334,2.477911585e-05,45107
335,3.185042806e-05,45132
336,1.906965736e-05,45146
337,1.831520422e-05,45152
338,1.735118167e-05,45193
339,2.291619603e-05,45196
340,2.435418355e-05,45213
341,1.993643673e-05,45256
342,1.278603941e-05,45272
343,2.557945118e-05,45278
344,2.000154382e-05,45363
345,1.533174873e-05,45371
346,1.657500798e-05,45380
347,2.640387902e-05,45390
348,3.559760444e-05,45407
349,1.873026667e-05,45423
350,2.084431617e-05,45428
351,2.829361802e-05,45430
352,1.55785383e-05,8468
353,1.371178314e-05,8470
354,1.954534309e-05,8501
355,1.516018892e-05,8504
356,1.180040272e-05,8508
357,2.059482904e-05,8511
358,1.244407758e-05,8512
359,1.438329946e-05,8522
360,2.008006777e-05,8529
361,1.634654109e-05,8530
362,1.771692041e-05,8536
363,1.775338387e-05,8585
364,1.378073102e-05,8592
365,1.707475167e-05,8598
366,1.498309939e-05,8599
367,1.426386189e-05,8610
368,1.493795116e-05,8615
369,1.829749272e-05,8626
370,1.718912972e-05,8648
371,2.392660645e-05,8649
372,1.465357309e-05,8669
373,1.840138611e-05,8683
374,1.61965545e-05,8686
375,1.47650062e-05,8688
376,1.393704952e-05,8689
377,1.505113414e-05,8694
378,1.602708653e-05,8700
379,1.798030462e-05,8712
380,1.963358591e-05,8714
381,1.878242801e-05,8728
382,1.877634713e-05,8736
383,1.407424861e-05,8739
384,1.718913882e-05,20327
385,1.607255945e-05,20343
386,9.991744264e-06,20344
387,1.265355422e-05,20352
388,2.087127905e-05,20353
389,2.083173604e-05,20357
390,1.133578735e-05,20363
391,1.286055976e-05,20372
392,1.271800284e-05,20375
393,1.125969902e-05,20387
394,1.400611745e-05,20391
395,1.230817907e-05,20404
396,1.248326589e-05,20408
397,1.61042135e-05,20410
398,2.103686529e-05,20414
