,betweenness_centrality,vertex
0,2.270543921e-05,37516
1,6.465664108e-05,37523
2,2.533214514e-05,37527
3,3.553982761e-05,37531
4,1.947737962e-05,37538
5,0.000107204,37541
6,2.710782153e-05,37545
7,2.875714639e-05,37549
8,0.000113513,37561
9,4.624304564e-05,37568
10,5.292386109e-05,37576
11,4.799552288e-05,37578
12,1.542512743e-05,37581
13,3.393494269e-05,37593
14,3.793530536e-05,37595
15,0.000250125,37600
16,6.804784555e-05,37601
17,2.978274222e-05,37622
18,5.49287982e-05,37634
19,6.964852578e-06,37639
20,2.166516958e-05,37642
21,2.332563459e-05,37659
22,4.346623578e-05,37662
23,8.537367364e-05,37663
24,4.230286238e-05,37665
25,0.00022122,37672
26,9.624864017e-05,37684
27,1.760936003e-05,37686
28,3.344294499e-05,37692
29,1.493891867e-05,37698
30,2.499084426e-05,37700
31,6.93814929e-05,37713
32,5.611184545e-05,1145
33,2.394222435e-05,1161
34,3.236081038e-05,1298
35,5.94362388e-05,1359
36,4.415680811e-05,1381
37,4.797901219e-05,1405
38,4.344594778e-05,1445
39,4.837909931e-05,1461
40,4.265439623e-05,1483
41,5.234304866e-05,1543
42,8.431803975e-05,1551
43,7.516059705e-05,1554
44,7.442037283e-05,1557
45,7.546974425e-05,1560
46,3.917643077e-05,1573
47,6.460173144e-05,1587
48,5.70966234e-05,1596
49,5.886568401e-05,1622
50,0.000106857,1636
51,7.240678164e-05,1668
52,6.476382022e-05,1687
53,6.425638616e-05,1748
54,8.267452971e-05,1762
55,3.772276652e-05,1791
56,5.022775506e-05,1817
57,6.073652692e-05,1849
58,6.72507671e-05,1884
59,3.332672073e-05,1899
60,3.443199734e-05,1917
61,5.557753725e-05,1933
62,3.461171126e-05,1945
63,3.569374041e-05,1948
64,5.639886333e-05,18946
65,2.173742458e-05,18947
66,4.659512527e-05,18953
67,1.835661946e-05,18954
68,3.188431267e-05,18959
69,2.62014913e-05,18973
70,7.55006198e-06,18975
71,1.859639486e-05,18983
72,3.692083899e-06,18994
73,2.190055543e-05,19000
74,5.57332232e-05,19007
75,3.213264941e-05,19010
76,1.52255912e-05,19011
77,1.373886239e-05,19023
78,1.982204018e-05,19027
79,2.563835386e-05,19036
80,8.689532661e-06,19038
81,0.000111881,19044
82,3.306684657e-05,19048
83,3.713577227e-05,19066
84,6.77704103e-05,19083
85,2.047452326e-05,19098
86,8.505239833e-06,19105
87,2.966990061e-05,19106
88,1.951333477e-05,19107
89,3.089714733e-05,19110
90,1.859981687e-05,19120
91,4.720004063e-06,19122
92,2.197240985e-05,19137
93,1.08284474e-05,19138
94,4.632732315e-05,19141
95,1.1891821e-05,19170
96,2.143321218e-05,51670
97,2.851292348e-05,51672
98,5.518510575e-06,51673
99,5.180738414e-06,51675
100,6.027168577e-06,51676
101,1.807887128e-05,51677
102,1.68488727e-05,51680
103,9.128942023e-06,51683
104,8.545740675e-06,51687
105,1.584185149e-05,51691
106,1.98591298e-06,51692
107,1.401474912e-05,51695
108,0.0,51697
109,6.846627806e-06,51702
110,1.620074927e-05,51703
111,1.304633052e-06,51704
112,3.876237123e-06,51713
113,3.04283721e-06,51714
114,2.426171751e-06,51716
115,2.272173803e-05,51719
116,0.0,51722
117,9.03769258e-06,51724
118,1.850449282e-05,51725
119,2.995774186e-06,51733
120,2.26533371e-05,51735
121,4.884888847e-05,51739
122,1.49965349e-05,51740
123,1.270592269e-05,51746
124,2.466868946e-06,51747
125,4.141677514e-06,51753
126,5.178127983e-06,51757
127,5.016831648e-06,51760
128,2.286210051e-06,51866
129,0.0,51868
130,2.483159323e-06,51877
131,1.589600806e-06,51880
132,9.170957274e-06,51883
133,2.457072652e-06,51884
134,5.548736979e-06,51886
135,3.166301848e-05,51889
136,1.524838387e-05,51890
137,4.387619641e-06,51893
138,2.592848451e-06,51897
