,partition,vertex
0,49,1145
1,2,1161
2,100,1298
3,0,1359
4,112,1381
5,34,1405
6,34,1445
7,17,1461
8,8,1483
9,108,1543
10,12,1551
11,90,1554
12,119,1557
13,4,1560
14,125,1573
15,131,1587
16,204,1596
17,94,1622
18,35,1636
19,7,1668
20,79,1687
21,35,1748
22,123,1762
23,214,1791
24,13,1817
25,87,1849
26,137,1884
27,4,1899
28,130,1917
29,83,1933
30,217,1945
31,220,1948
32,173,37516
33,99,37523
34,19,37527
35,117,37531
36,61,37538
37,108,37541
38,20,37545
39,64,37549
40,35,37561
41,9,37568
42,4,37576
43,13,37578
44,118,37581
45,104,37593
46,98,37595
47,76,37600
48,127,37601
49,211,37622
50,86,37634
51,96,37639
52,98,37642
53,30,37659
54,158,37662
55,20,37663
56,24,37665
57,101,37672
58,179,37684
59,98,37686
60,51,37692
61,84,37698
62,120,37700
63,79,37713
64,56,52933
65,64,52934
66,136,52952
67,111,52969
68,135,52977
69,107,53005
70,212,53007
71,158,53038
72,41,53045
73,65,53048
74,101,53050
75,204,53057
76,66,53060
77,131,53067
78,13,53072
79,28,53079
80,131,53081
81,59,53088
82,91,53094
83,111,53095
84,111,53096
85,92,53108
86,28,53109
87,94,53114
88,88,53120
89,198,53132
90,8,53152
91,4,53158
92,51,53163
93,14,53164
94,87,53184
95,158,53188
96,84,51866
97,24,51868
98,91,51877
99,87,51880
100,220,51883
101,220,51884
102,137,51886
103,98,51889
104,60,51890
105,120,51893
106,92,51897
107,134,51898
108,212,51911
109,23,51912
110,42,51913
111,73,51917
112,4,51918
113,11,51922
114,79,51926
115,45,51930
116,29,51931
117,97,51932
118,41,51934
119,132,51936
120,75,51941
121,18,51942
122,70,51948
123,70,51949
124,41,51950
125,127,51951
126,35,51952
127,65,51953
128,113,50591
129,129,50612
130,181,50634
131,34,50643
132,35,50644
133,92,50703
134,83,50711
135,79,50738
136,24,50778
137,185,50785
138,198,50830
139,55,50855
140,98,50861
141,73,50972
142,28,50993
143,45,51009
144,118,51071
145,16,51091
146,207,51112
147,213,51194
148,130,51207
149,64,51209
150,53,51221
151,104,51225
152,140,51230
153,62,51265
154,4,51280
155,86,51289
156,22,51307
157,54,51314
158,99,51337
159,97,51378
160,133,30624
161,180,30629
162,81,30630
163,58,30632
164,107,30634
165,109,30636
166,7,30641
167,92,30642
168,127,30645
169,0,30648
170,127,30651
171,180,30654
172,104,30656
173,211,30659
174,17,30660
175,17,30661
176,101,30662
177,119,30663
178,81,30666
179,11,30667
180,22,30669
181,82,30670
182,35,30673
183,112,30679
184,31,30681
185,34,30682
186,138,30685
187,217,30697
188,46,30708
189,78,30710
190,21,30715
191,139,30716
192,71,23731
193,133,23770
194,44,23772
195,34,23778
196,173,23783
197,118,23795
198,72,23805
199,62,23823
200,212,23830
201,67,23834
202,70,23850
203,123,23855
204,109,23864
205,167,23865
206,66,23870
207,106,23872
208,111,23873
209,23,23905
210,107,23908
211,76,23909
212,208,23913
213,17,23925
214,109,23929
215,209,23962
216,107,23964
217,69,23970
218,220,23972
219,31,23976
220,12,23987
221,11,23996
222,69,24004
223,30,24017
224,68,44244
225,64,44248
226,107,44249
227,20,44254
228,195,44261
229,70,44270
230,83,44278
231,214,44289
232,179,44295
233,35,44296
234,99,44300
235,52,44307
236,46,44309
237,138,44315
238,13,44322
239,47,44328
240,138,44332
241,163,44338
242,72,44343
243,128,44350
244,90,44351
245,24,44352
246,99,44369
247,209,44372
248,0,44373
249,115,44398
250,46,44425
251,84,44427
252,131,44432
253,0,44439
254,143,44452
255,140,44461
256,204,52706
257,119,52827
258,86,53183
259,45,53268
260,163,53474
261,133,53521
262,107,53630
263,193,53720
264,52,53944
265,4,53953
266,38,54009
267,139,54096
268,30,54354
269,155,54356
270,119,54742
271,92,54888
272,134,54962
273,57,55485
274,163,55582
275,31,55593
276,193,55609
