,pagerank,vertex
0,1.419106593e-05,1145
1,1.37946854e-05,1161
2,1.294502999e-05,1298
3,1.140732002e-05,1359
4,2.075780321e-05,1381
5,1.060879549e-05,1405
6,1.217416047e-05,1445
7,1.436609091e-05,1461
8,1.548940236e-05,1483
9,2.260463953e-05,1543
10,2.489355757e-05,1551
11,1.481673189e-05,1554
12,2.893638703e-05,1557
13,2.241977381e-05,1560
14,9.782244888e-06,1573
15,1.766935748e-05,1587
16,1.862129648e-05,1596
17,1.867807987e-05,1622
18,2.522422801e-05,1636
19,1.574726957e-05,1668
20,1.076263379e-05,1687
21,1.809605601e-05,1748
22,1.746925955e-05,1762
23,1.435692593e-05,1791
24,1.212347433e-05,1817
25,2.318187217e-05,1849
26,1.226643872e-05,1884
27,1.34194097e-05,1899
28,1.153810535e-05,1917
29,1.321512264e-05,1933
30,2.379619582e-05,1945
31,1.371500184e-05,1948
32,4.613680176e-06,51866
33,4.629378054e-06,51868
34,4.799234375e-06,51877
35,3.996927717e-06,51880
36,5.823868833e-06,51883
37,4.797000656e-06,51884
38,5.677238278e-06,51886
39,1.005018203e-05,51889
40,1.192383115e-05,51890
41,9.181757378e-06,51893
42,6.068862604e-06,51897
43,4.403294042e-06,51898
44,8.13483075e-06,51911
45,6.348456736e-06,51912
46,7.478072803e-06,51913
47,3.655663022e-06,51917
48,6.776845112e-06,51918
49,7.80406026e-06,51922
50,1.896282447e-05,51926
51,4.938734946e-06,51930
52,3.868404292e-06,51931
53,1.610190156e-05,51932
54,1.423178401e-05,51934
55,1.472620988e-05,51936
56,8.639389307e-06,51941
57,9.897372365e-06,51942
58,5.683326435e-06,51948
59,4.771085059e-06,51949
60,4.874829301e-06,51950
61,7.5486264e-06,51951
62,8.913638339e-06,51952
63,7.649176041e-06,51953
64,9.651375876e-06,37516
65,2.125542233e-05,37523
66,8.727259228e-06,37527
67,1.360570786e-05,37531
68,1.582180812e-05,37538
69,2.381381273e-05,37541
70,1.457366034e-05,37545
71,2.037538252e-05,37549
72,1.912740663e-05,37561
73,1.15102539e-05,37568
74,2.454162677e-05,37576
75,1.117030024e-05,37578
76,8.999279999e-06,37581
77,1.428151518e-05,37593
78,1.689526107e-05,37595
79,3.481720341e-05,37600
80,1.88350532e-05,37601
81,9.6928934e-06,37622
82,2.114369272e-05,37634
83,1.046622492e-05,37639
84,1.394110313e-05,37642
85,1.369060647e-05,37659
86,1.056242854e-05,37662
87,2.175834561e-05,37663
88,1.848362263e-05,37665
89,3.761870539e-05,37672
90,1.827919914e-05,37684
91,1.270144185e-05,37686
92,1.265206538e-05,37692
93,6.812071661e-06,37698
94,8.435335985e-06,37700
95,2.072735697e-05,37713
96,1.132326543e-05,42627
97,1.223804793e-05,42637
98,2.43978684e-05,42643
99,2.009233867e-05,42654
100,1.445848193e-05,42659
101,1.69615887e-05,42663
102,2.161072734e-05,42667
103,1.81263058e-05,42672
104,1.179123319e-05,42673
105,6.047950137e-06,42676
106,2.40381778e-05,42678
107,1.635851913e-05,42680
108,1.698997767e-05,42688
109,1.279692242e-05,42696
110,1.177708327e-05,42698
111,1.965119009e-05,42703
112,2.122875594e-05,42711
113,1.438524305e-05,42714
114,1.211955896e-05,42723
115,2.369707363e-05,42730
116,1.802976658e-05,42731
117,2.000498716e-05,42733
118,1.26906034e-05,42739
119,1.407938908e-05,42745
120,8.023657756e-06,42751
121,2.074684744e-05,42759
122,1.938047717e-05,42762
123,1.100602913e-05,42768
124,1.295410584e-05,42772
125,6.79089635e-06,42773
126,3.496967111e-05,42775
127,1.13981605e-05,42776
128,2.088947258e-05,20327
129,1.836778029e-05,20343
130,1.19572851e-05,20344
131,1.052610514e-05,20352
132,1.534690455e-05,20353
133,2.365938781e-05,20357
134,1.322860862e-05,20363
135,1.028361748e-05,20372
136,1.11527379e-05,20375
137,1.218283342e-05,20387
