,betweenness_centrality,vertex
0,5.611184545e-05,1145
1,2.394222435e-05,1161
2,3.236081038e-05,1298
3,5.94362388e-05,1359
4,4.415680811e-05,1381
5,4.797901219e-05,1405
6,4.344594778e-05,1445
7,4.837909931e-05,1461
8,4.265439623e-05,1483
9,5.234304866e-05,1543
10,8.431803975e-05,1551
11,7.516059705e-05,1554
12,7.442037283e-05,1557
13,7.546974425e-05,1560
14,3.917643077e-05,1573
15,6.460173144e-05,1587
16,5.70966234e-05,1596
17,5.886568401e-05,1622
18,0.000106857,1636
19,7.240678164e-05,1668
20,6.476382022e-05,1687
21,6.425638616e-05,1748
22,8.267452971e-05,1762
23,3.772276652e-05,1791
24,5.022775506e-05,1817
25,6.073652692e-05,1849
26,6.72507671e-05,1884
27,3.332672073e-05,1899
28,3.443199734e-05,1917
29,5.557753725e-05,1933
30,3.461171126e-05,1945
31,3.569374041e-05,1948
32,2.286210051e-06,51866
33,0.0,51868
34,2.483159323e-06,51877
35,1.589600806e-06,51880
36,9.170957274e-06,51883
37,2.457072652e-06,51884
38,5.548736979e-06,51886
39,3.166301848e-05,51889
40,1.524838387e-05,51890
41,4.387619641e-06,51893
42,2.592848451e-06,51897
43,1.239147589e-06,51898
44,5.020901842e-06,51911
45,1.049305634e-05,51912
46,7.233373441e-06,51913
47,0.0,51917
48,0.0,51918
49,8.410242061e-06,51922
50,2.959616998e-05,51926
51,3.003127697e-06,51930
52,1.59169962e-06,51931
53,1.173248587e-05,51932
54,1.108942886e-05,51934
55,1.290514847e-05,51936
56,1.148644848e-05,51941
57,4.120093894e-05,51942
58,3.160262437e-06,51948
59,5.733937079e-07,51949
60,1.673871087e-06,51950
61,4.980013626e-06,51951
62,8.305003216e-06,51952
63,1.007191984e-05,51953
64,2.203711094e-05,54365
65,2.144578223e-05,54367
66,1.947931658e-05,54371
67,1.480240415e-05,54373
68,2.694943995e-06,54377
69,8.71837493e-07,54379
70,7.582198829e-06,54383
71,4.012334248e-05,54389
72,5.790042426e-06,54390
73,1.839493322e-05,54392
74,9.375558442e-06,54394
75,0.0,54395
76,0.0,54396
77,2.594299136e-05,54397
78,3.440414376e-05,54400
79,4.727556197e-07,54406
80,1.311293623e-06,54408
81,3.742053868e-06,54411
82,4.899950443e-06,54412
83,3.392006729e-05,54415
84,4.724600581e-05,54419
85,2.8290564e-06,54423
86,1.27127081e-05,54428
87,1.053503193e-05,54429
88,9.02860452e-06,54431
89,6.269359464e-06,54434
90,1.16753877e-05,54439
91,1.057311226e-05,54445
92,6.448178441e-06,54446
93,4.725153457e-05,54447
94,1.200654052e-05,54448
95,1.973260573e-05,54451
96,3.035847691e-05,52706
97,1.888095197e-05,52827
98,2.688174604e-05,53183
99,4.423103458e-05,53268
100,6.487426102e-05,53474
101,6.525354546e-05,53521
102,0.000117996,53630
103,0.000140657,53720
104,8.175526207e-06,53944
105,7.638766574e-05,53953
106,2.619731468e-05,54009
107,7.301213025e-05,54096
108,6.449895049e-05,54354
109,8.087974656e-05,54356
110,9.816830622e-05,54742
111,5.338043094e-05,54888
112,0.000178145,54962
113,4.954057227e-05,55485
114,2.703666647e-05,55582
115,4.402561346e-05,55593
116,1.198262654e-05,55609
117,0.000104023,55639
118,3.550871091e-05,56072
119,4.831276291e-05,56966
120,4.502504252e-06,69
121,1.915066246e-05,292
122,1.371163432e-05,360
123,1.059952015e-05,374
124,5.160499786e-06,507
125,9.560547349e-06,525
126,4.066803396e-05,614
127,8.08986037e-06,655
128,2.435633441e-05,23731
129,3.060014451e-05,23770
130,6.344401199e-05,23772
131,3.256067981e-05,23778
132,6.216410461e-05,23783
133,2.473895822e-05,23795
134,9.833288665e-06,23805
135,6.455133647e-05,23823
136,4.340116313e-05,23830
137,1.988165901e-05,23834
138,5.218786598e-05,23850
139,2.799119154e-05,23855
140,3.067943332e-05,23864
141,1.627177937e-05,23865
142,1.683305053e-05,23870
143,7.930049235e-05,23872
144,2.716189165e-05,23873
145,5.554469447e-05,23905
146,2.50482758e-05,23908
147,4.53988644e-05,23909
148,2.330298863e-05,23913
149,2.891724774e-05,23925
150,3.403456962e-05,23929
151,4.856026283e-05,23962
152,8.484414189e-05,23964
153,2.313433307e-05,23970
154,3.395248213e-05,23972
155,3.657320619e-05,23976
156,3.615079169e-05,23987
157,3.362674798e-05,23996
158,2.195075925e-05,24004
159,4.513103713e-05,24017
160,2.270543921e-05,37516
161,6.465664108e-05,37523
162,2.533214514e-05,37527
163,3.553982761e-05,37531
164,1.947737962e-05,37538
165,0.000107204,37541
166,2.710782153e-05,37545
167,2.875714639e-05,37549
168,0.000113513,37561
169,4.624304564e-05,37568
170,5.292386109e-05,37576
171,4.799552288e-05,37578
172,1.542512743e-05,37581
173,3.393494269e-05,37593
174,3.793530536e-05,37595
175,0.000250125,37600
176,6.804784555e-05,37601
177,2.978274222e-05,37622
178,5.49287982e-05,37634
179,6.964852578e-06,37639
180,2.166516958e-05,37642
181,2.332563459e-05,37659
182,4.346623578e-05,37662
183,8.537367364e-05,37663
184,4.230286238e-05,37665
185,0.00022122,37672
186,9.624864017e-05,37684
187,1.760936003e-05,37686
188,3.344294499e-05,37692
189,1.493891867e-05,37698
190,2.499084426e-05,37700
191,6.93814929e-05,37713
192,3.3498223e-05,52933
193,7.15532601e-05,52934
194,2.006791751e-05,52952
195,3.974179413e-06,52969
196,8.023152623e-06,52977
197,5.077386544e-05,53005
198,4.86634954e-06,53007
199,8.546337251e-05,53038
200,1.735008016e-06,53045
201,4.681335621e-05,53048
202,2.939550502e-05,53050
203,3.021825953e-05,53057
204,5.978957021e-05,53060
205,1.595408912e-05,53067
206,4.323232802e-06,53072
207,3.372290145e-05,53079
208,4.401849473e-05,53081
209,3.243492828e-05,53088
210,3.981647253e-05,53094
211,6.685554459e-06,53095
212,5.241151217e-05,53096
213,6.03761004e-05,53108
214,3.417524891e-05,53109
215,3.017105977e-05,53114
216,4.574472455e-06,53120
217,5.172912913e-05,53132
218,1.851477498e-05,53152
219,3.923155056e-05,53158
220,1.325576769e-05,53163
221,2.116839397e-05,53164
222,7.297978344e-06,53184
223,1.832163376e-05,53188
224,5.639886333e-05,18946
225,2.173742458e-05,18947
226,4.659512527e-05,18953
227,1.835661946e-05,18954
228,3.188431267e-05,18959
229,2.62014913e-05,18973
230,7.55006198e-06,18975
231,1.859639486e-05,18983
232,3.692083899e-06,18994
233,2.190055543e-05,19000
234,5.57332232e-05,19007
235,3.213264941e-05,19010
236,1.52255912e-05,19011
237,1.373886239e-05,19023
238,1.982204018e-05,19027
239,2.563835386e-05,19036
240,8.689532661e-06,19038
241,0.000111881,19044
242,3.306684657e-05,19048
243,3.713577227e-05,19066
244,6.77704103e-05,19083
245,2.047452326e-05,19098
246,8.505239833e-06,19105
247,2.966990061e-05,19106
248,1.951333477e-05,19107
249,3.089714733e-05,19110
250,1.859981687e-05,19120
251,4.720004063e-06,19122
252,2.197240985e-05,19137
253,1.08284474e-05,19138
254,4.632732315e-05,19141
255,1.1891821e-05,19170
256,2.250236587e-05,40861
257,4.621364775e-06,40862
258,2.152789629e-05,40863
259,5.375893735e-05,40865
260,2.2421111e-05,40866
261,1.817368595e-05,40870
262,2.845003263e-05,40887
263,2.214935067e-05,40888
264,2.581740662e-05,40891
265,1.191430841e-05,40898
266,5.695506413e-05,40900
267,3.519469063e-06,40901
268,2.244919008e-05,40907
269,1.673068709e-05,40908
270,3.939011226e-05,40910
271,3.169847755e-05,40913
272,4.978775914e-05,40914
273,3.541578142e-05,40915
274,3.102585201e-05,40916
275,9.822055105e-05,40926
276,1.115853645e-05,40927
277,8.586546804e-05,40928
278,3.308758011e-05,40931
279,6.02532325e-05,40936
280,4.581564554e-06,40943
281,5.989717754e-05,40949
282,2.185295335e-05,40958
283,2.49962286e-05,40974
284,4.954803321e-05,40975
285,1.749294721e-05,40980
286,1.814612834e-05,40986
287,8.879152077e-05,40989
288,8.189457036e-05,37165
289,0.00014379,37243
290,9.072025687e-05,37310
291,0.000114086,37348
292,7.155321034e-05,37413
293,0.000114931,37626
294,5.32568862e-05,37641
295,0.000101889,37833
296,0.000110375,37896
297,0.000105061,37993
298,0.000195026,38075
299,0.000325565,38452
300,0.000149396,38887
301,0.000285309,39179
302,0.000121966,39347
303,0.000324827,40487
304,0.000231724,41289
305,0.000260806,41298
306,0.000165644,41367
307,0.000168312,41382
308,0.000265457,41505
309,0.000161811,41580
310,4.934058072e-05,41643
311,0.000382736,42065
312,0.000157246,42088
313,8.63714407e-05,42149
314,0.000232347,42430
315,0.000256534,42458
316,0.000306874,42645
317,0.000140463,42713
318,0.000223328,42985
319,0.000156703,43822
320,1.696055002e-05,19053
321,1.96455274e-06,19055
322,1.774122004e-05,19077
323,2.552018052e-05,19080
324,1.665822359e-05,19082
325,3.120860921e-06,19090
326,2.388860931e-05,19100
327,4.6178009e-05,19101
328,3.572050506e-05,19124
329,3.898345288e-05,19128
330,1.030812637e-05,19130
331,1.3166462e-05,19135
332,5.333162754e-05,19140
333,4.040722343e-06,19147
334,3.168978799e-05,19148
335,2.738750765e-05,19150
336,3.049191812e-05,19154
337,2.995649422e-05,19155
338,1.965879686e-05,19161
339,6.854724132e-05,19178
340,2.213049008e-05,19182
341,1.606409511e-05,19188
342,1.867455319e-05,19196
343,5.332444189e-05,19229
344,8.766985247e-05,19234
345,2.62857335e-06,19248
346,8.682213296e-06,19259
347,7.141159433e-05,19283
348,3.03325082e-05,19288
349,1.819583665e-05,19302
350,2.218278851e-05,19312
351,7.091491973e-05,19314
352,1.005477614e-05,23238
353,2.444601148e-05,23239
354,1.284534625e-05,23259
355,1.06753089e-05,23269
356,4.421978053e-05,23284
357,9.014564335e-06,23291
358,9.170187152e-06,23305
359,1.144577947e-05,23310
360,5.228674289e-05,23323
361,4.237654878e-05,23332
362,2.397674366e-05,23337
363,2.880877763e-05,23346
364,4.082511376e-05,23352
365,7.046724059e-06,23367
366,2.987699078e-06,23401
367,3.54875592e-05,23407
368,3.669374479e-05,23410
369,1.58292312e-05,23414
370,3.227733032e-05,23415
371,9.926174203e-06,23416
372,2.03317326e-05,23419
373,1.368489047e-05,23435
374,5.004003204e-06,23436
375,4.665881241e-05,23440
376,8.680409031e-06,23441
377,4.187126541e-05,23442
378,2.556338453e-05,23446
379,2.92235004e-05,23463
380,4.285441559e-05,23465
381,1.441503483e-05,23468
382,7.455183148e-06,23470
383,2.515051362e-05,23495
384,4.538845496e-05,20327
385,5.42569486e-05,20343
386,4.871186983e-06,20344
387,2.602538611e-05,20352
388,6.866453303e-05,20353
389,7.262438489e-05,20357
390,1.481640648e-05,20363
391,1.895068493e-05,20372
392,2.146199144e-05,20375
393,1.390226471e-05,20387
394,2.117299539e-05,20391
395,3.241790885e-05,20404
396,3.110085391e-05,20408
397,3.64845535e-05,20410
398,5.532421299e-05,20414
399,5.389717636e-05,20429
400,1.695611868e-05,20432
401,2.008423628e-05,20448
402,1.938926721e-05,20461
403,2.31846295e-06,20469
404,3.996193252e-05,20490
405,2.074991611e-05,20509
406,1.012659273e-05,20519
