,pagerank,vertex
0,1.751359559e-05,1145
1,1.435090144e-05,1161
2,1.434849946e-05,1298
3,1.663413241e-05,1359
4,1.667527249e-05,1381
5,1.538437209e-05,1405
6,1.551525565e-05,1445
7,1.78784976e-05,1461
8,1.629336839e-05,1483
9,1.670843812e-05,1543
10,1.997415893e-05,1551
11,2.181942e-05,1554
12,2.061449413e-05,1557
13,1.852838614e-05,1560
14,1.654562948e-05,1573
15,1.699540189e-05,1587
16,1.755580888e-05,1596
17,1.690301178e-05,1622
18,2.303151632e-05,1636
19,1.916886322e-05,1668
20,1.754850564e-05,1687
21,1.986421739e-05,1748
22,1.925930701e-05,1762
23,1.540367703e-05,1791
24,1.749201147e-05,1817
25,1.887088183e-05,1849
26,1.781022911e-05,1884
27,1.501500083e-05,1899
28,1.482725474e-05,1917
29,1.516689736e-05,1933
30,1.59964693e-05,1945
31,1.634490582e-05,1948
32,1.503285421e-05,37516
33,2.071467679e-05,37523
34,1.444938243e-05,37527
35,1.590152897e-05,37531
36,1.323420111e-05,37538
37,2.362258601e-05,37541
38,1.206949673e-05,37545
39,1.625122968e-05,37549
40,2.246981239e-05,37561
41,1.677895671e-05,37568
42,1.908598824e-05,37576
43,1.449366391e-05,37578
44,1.161827095e-05,37581
45,1.561079807e-05,37593
46,1.448565399e-05,37595
47,3.435985855e-05,37600
48,1.717049781e-05,37601
49,1.351841638e-05,37622
50,1.961535963e-05,37634
51,9.341221812e-06,37639
52,1.447347677e-05,37642
53,1.294592039e-05,37659
54,1.718471503e-05,37662
55,2.184414552e-05,37663
56,1.584588426e-05,37665
57,3.350333645e-05,37672
58,2.239886453e-05,37684
59,1.28069014e-05,37686
60,1.240808706e-05,37692
61,1.118273394e-05,37698
62,1.309821073e-05,37700
63,2.088698056e-05,37713
64,5.88405328e-06,51866
65,4.752637324e-06,51868
66,6.640150332e-06,51877
67,7.22674622e-06,51880
68,1.011152199e-05,51883
69,6.638441846e-06,51884
70,8.826066733e-06,51886
71,1.679770321e-05,51889
72,1.135805815e-05,51890
73,8.563671145e-06,51893
74,6.807415048e-06,51897
75,6.871294772e-06,51898
76,7.517997346e-06,51911
77,1.062066167e-05,51912
78,9.372265595e-06,51913
79,7.634032954e-06,51917
80,5.553283245e-06,51918
81,1.078745845e-05,51922
82,1.344744032e-05,51926
83,7.291085694e-06,51930
84,6.361223768e-06,51931
85,1.196508856e-05,51932
86,9.441683687e-06,51934
87,1.220652757e-05,51936
88,9.162506103e-06,51941
89,1.578122647e-05,51942
90,8.426535715e-06,51948
91,5.236211564e-06,51949
92,6.883334208e-06,51950
93,8.060274013e-06,51951
94,9.99108488e-06,51952
95,1.031801912e-05,51953
96,8.499411706e-06,51670
97,1.3085305e-05,51672
98,9.1050224e-06,51673
99,9.073259207e-06,51675
100,9.940601558e-06,51676
101,1.232592149e-05,51677
102,1.238999994e-05,51680
103,8.634760889e-06,51683
104,8.929787327e-06,51687
105,1.399437951e-05,51691
106,6.753000434e-06,51692
107,1.0547069e-05,51695
108,4.963779702e-06,51697
109,9.221737855e-06,51702
